OBJECTID_1,OBJECTID,DWR_,SUBBSN_,BAS_SBBSN,GWBASIN,SUBNAME,ACRES,BUDGET_TYP,Regional_O,Shape_Leng,Shape_Le_1,Shape_Area
205,205,6-30,,6-30,IVANPAH VALLEY,, 200154.78599999999,C,4, 304021.30311899999,      3.06339411444,      0.07952169078
206,206,6-53,,6-53,SALT WELLS VALLEY,,  29628.79400000000,C,4, 104166.19425299999,      1.04476033070,      0.01187113681
207,207,3-33,,3-33,SAN CARPOFORO VALLEY,,   1053.72500000000,C,3,  12949.15712810000,      0.13471052087,      0.00042507901
208,208,6-22,,6-22,UPPER KINGSTON VALLEY,, 178532.98900000000,C,4, 414606.80676100001,      4.18213039804,      0.07103333149
209,209,6-76,,6-76,BROWN MOUNTAIN VALLEY,,  21862.34700000000,C,4,  69536.44111509999,      0.69127523388,      0.00875475863
210,210,6-21,,6-21,LOWER KINGSTON VALLEY,, 241892.12200000000,C,4, 359909.05404000002,      3.62943986483,      0.09652817486
211,211,6-71,,6-71,LOST LAKE VALLEY,,  23414.11500000000,C,4,  96779.35976490000,      0.95213577265,      0.00937468158
212,212,6-88,,6-88,OWL LAKE VALLEY,,  22402.32600000000,C,4,  99873.22419650000,      0.99758877401,      0.00896686873
213,213,5-22,5-22.10,5-22.10,SAN JOAQUIN VALLEY,PLEASANT VALLEY,  13619.14200000000,B,3, 361552.59203399997,      3.63488778165,      0.05892412579
214,214,5-25,,5-25,KERN RIVER VALLEY,,  79678.37600000000,C,3, 469533.23496500001,      4.69784510957,      0.03198320389
215,215,6-19,,6-19,WINGATE VALLEY,,  71755.21000000001,C,4, 224282.43873600001,      2.25626006087,      0.02875732035
216,216,6-54,,6-54,INDIAN WELLS VALLEY,, 383492.37099999998,A,4, 747643.69806900003,      7.55213732833,      0.15374014242
217,217,6-52,,6-52,SEARLES VALLEY,, 198114.86600000001,C,4, 390252.99535099999,      3.93114879950,      0.07934591040
218,218,3-5,,3-5,CHOLAME VALLEY,,  39847.03500000000,C,3, 181581.61727399999,      1.82360108453,      0.01607770612
219,219,6-29,,6-29,MESQUITE VALLEY,,  89011.76100000000,C,4, 200411.04620000001,      2.00261957113,      0.03554030274
220,220,6-82,,6-82,SPRING CANYON VALLEY,,   4831.55600000000,C,4,  37230.55802410000,      0.37150141446,      0.00194005803
221,221,3-4,3-4.06,3-4.06,SALINAS VALLEY,PASO ROBLES AREA, 597241.00000000000,A,3, 666086.50223099999,      6.55038276739,      0.24050480580
222,222,6-86,,6-86,RHODES HILL AREA,,  15697.38000000000,C,4,  89905.36126260000,      0.90221880144,      0.00629542548
223,223,6-55,,6-55,COSO VALLEY,,  25683.82900000000,C,4,  76157.31067530000,      0.76445925729,      0.01033179210
224,224,6-81,,6-81,BUTTE VALLEY,,   8852.93900000000,C,4,  49438.57379260000,      0.49569124890,      0.00355677387
225,225,6-80,,6-80,MIDDLE PARK CANYON,,   1752.15200000000,C,4,  13850.05473340000,      0.14848159696,      0.00070444551
226,226,6-73,,6-73,WILD HORSE MESA AREA,,   3337.36700000000,C,4,  24568.88792510000,      0.24715749407,      0.00134316778
227,227,6-79,,6-79,CALIFORNIA VALLEY,,  58638.91000000000,C,4, 126206.47752700000,      1.24417509826,      0.02346590522
228,228,3-6,,3-6,LOCKWOOD VALLEY,,  59932.71200000000,C,3, 163719.35661500000,      1.65940009601,      0.02422954888
229,229,6-85,,6-85,GOLD VALLEY,,   3234.11900000000,C,4,  30110.10715370000,      0.30370862401,      0.00129943466
230,230,5-22,5-22.13,5-22.13,SAN JOAQUIN VALLEY,TULE, 469958.77799999999,B,3, 241978.70650900001,      2.50069519886,      0.18960944534
231,231,6-56,,6-56,ROSE VALLEY,,  42709.10100000000,C,4, 118185.38479700001,      1.18597484958,      0.01721012688
232,232,6-72,,6-72,COLES FLAT,,   2960.57600000000,C,4,  21642.27503950000,      0.20721598851,      0.00119358634
233,233,6-70,,6-70,CACTUS FLAT,,   7056.06300000000,C,4,  35278.13722050000,      0.33830724538,      0.00284825301
234,234,6-28,,6-28,PAHRUMP VALLEY,,  93747.44600000000,C,4, 169688.31180299999,      1.68647426516,      0.03758487045
235,235,3-4,3-4.05,3-4.05,SALINAS VALLEY,UPPER VALLEY AQUIFER,  98163.83000000000,A,3, 170703.01600100001,      1.73626498136,      0.03977354502
236,236,6-75,,6-75,WILDROSE CANYON,,   5182.44100000000,C,4,  37788.72243500000,      0.38788430440,      0.00209040956
237,237,3-32,,3-32,PEACH TREE VALLEY,,   9790.64400000000,C,3,  90397.24746940000,      0.91496510718,      0.00397065800
238,238,6-84,,6-84,GREENWATER VALLEY,,  60259.74200000000,C,4, 159461.00420100000,      1.59287500853,      0.02423478041
239,239,6-57,,6-57,DARWIN VALLEY,,  44386.12000000000,C,4, 159861.11427799999,      1.56763385742,      0.01790426466
240,240,3-31,,3-31,HERNANDEZ VALLEY,,   2864.83500000000,C,3,  31077.71439300000,      0.31468345112,      0.00116421119
241,241,6-68,,6-68,SANTA ROSA FLAT,,    411.03000000000,C,4,  87956.32620359999,      0.86359102393,      0.00682169945
242,242,6-13,,6-13,BLACK SPRINGS VALLEY,,  30911.05400000000,C,4,  81896.79069870000,      0.80759688434,      0.01249442692
243,243,5-22,5-22.12,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE, 524538.90099999995,B,3, 259301.98081499999,      2.58243292369,      0.21210832042
244,244,6-74,,6-74,HARRISBURG FLATS,,  25076.97000000000,C,4, 103884.07225100001,      1.08066397128,      0.01012759447
245,245,3-4,3-4.04,3-4.04,SALINAS VALLEY,FOREBAY AQUIFER,  94024.56700000000,A,3, 116130.42598700000,      1.18549726815,      0.03822426167
246,246,3-30,,3-30,BITTER WATER VALLEY,,  32221.71000000000,C,3, 117942.05615900000,      1.16285214473,      0.01310217749
247,247,6-58,,6-58,PANAMINT VALLEY,, 260754.02700000000,C,4, 377185.18157700001,      3.74025839392,      0.10512982865
248,248,5-71,,5-71,VALLECITOS CREEK VALLEY,,  15109.86500000000,C,3,  56341.66589460000,      0.58206178915,      0.00614820340
249,249,5-22,5-22.11,5-22.11,SAN JOAQUIN VALLEY,KAWEAH, 446282.73300000001,B,3, 431287.11505299999,      4.37657909247,      0.18080730325
250,250,3-29,,3-29,DRY LAKE VALLEY,,   1416.12300000000,C,3,  18250.44371480000,      0.18513039991,      0.00057664668
251,251,3-7,,3-7,CARMEL VALLEY,,   5151.42300000000,C,3,  54436.23935620000,      0.56666282154,      0.00209837747
252,252,6-65,,6-65,COTTONWOOD SPRING AREA,,   3917.74300000000,C,4,  23931.72747010000,      0.23165149754,      0.00158640308
253,253,6-66,,6-66,LEE FLAT,,  20379.90000000000,C,4,  89891.54064320000,      0.89988884115,      0.00825802388
254,254,3-4,3-4.10,3-4.10,SALINAS VALLEY,CORRAL DE TIERRA AREA,  22273.55300000000,C,3,  50009.68574220000,      0.51534540596,      0.00908154306
255,255,6-64,,6-64,MARBLE CANYON AREA,,  10421.55200000000,C,4,  46376.01719730000,      0.44911281887,      0.00422300209
256,256,6-20,,6-20,MIDDLE AMARGOSA VALLEY,, 392861.56500000000,C,4, 736437.23858600005,      7.35155890719,      0.15791779466
257,257,5-23,,5-23,PANOCHE VALLEY,,  33090.09700000000,C,3, 107836.83885000000,      1.12123069787,      0.01348617594
258,258,3-28,,3-28,SAN BENITO RIVER VALLEY,,  24222.58700000000,C,3,  78656.44781640000,      0.78590325747,      0.00986806364
259,259,3-4,3-4.08,3-4.08,SALINAS VALLEY,SEASIDE AREA,  25902.78700000000,B,3,  53941.75535390000,      0.54296582468,      0.01056722558
260,260,3-25,,3-25,TRES PINOS VALLEY,,   3385.42800000000,C,3,  22547.58680840000,      0.22795964126,      0.00138229343
261,261,3-4,3-4.02,3-4.02,SALINAS VALLEY,EAST SIDE AQUIFER,  57451.99300000000,A,3, 111980.34753100001,      1.14127695967,      0.02343488848
262,262,6-63,,6-63,HIDDEN VALLEY,,  18036.80800000000,C,4, 110777.96901299999,      1.08632322424,      0.00732103787
263,263,5-22,5-22.09,5-22.09,SAN JOAQUIN VALLEY,WESTSIDE, 640503.94099999999,C,3, 365194.62624200003,      3.65974803307,      0.26025707072
264,264,3-23,,3-23,UPPER SANTA ANA VALLEY,,   1430.60600000000,C,3,  12918.22174910000,      0.12540581537,      0.00058465783
265,265,6-62,,6-62,RACE TRACK VALLEY,,  14184.20200000000,C,4,  62766.81800670000,      0.61302476914,      0.00576099862
266,266,3-4,3-4.01,3-4.01,SALINAS VALLEY,180/400 FOOT AQUIFER,  84321.08600000000,A,3, 122197.03505799999,      1.22755476174,      0.03440637331
267,267,3-4,3-4.09,3-4.09,SALINAS VALLEY,LANGLEY AREA,  15343.51900000000,B,3,  35676.85741400000,      0.36486882898,      0.00627170381
268,268,3-22,,3-22,SANTA ANA VALLEY,,   2723.64900000000,C,3,  17217.40176700000,      0.17245360074,      0.00111372668
269,269,6-61,,6-61,CAMEO AREA,,   9349.09300000000,C,4,  42090.55633620000,      0.41217906662,      0.00380186385
270,270,3-24,,3-24,QUIEN SABE VALLEY,,   4706.19500000000,C,3,  46923.29179250000,      0.45678603265,      0.00192420683
271,271,3-3,3-3.04,3-3.04,GILROY-HOLLISTER VALLEY,SAN JUAN BAUTISTA AREA,  74304.94000000000,A,3, 189666.06363500000,      1.94387223307,      0.03035303595
272,272,5-22,5-22.08,5-22.08,SAN JOAQUIN VALLEY,KINGS, 977029.73600000003,C,3, 495252.60805500002,      5.05878615558,      0.39782473593
273,273,3-52,,3-52,NEEDLE ROCK POINT,,    479.23900000000,C,3,   8347.07568530000,      0.08973702341,      0.00019636449
274,274,3-3,3-3.02,3-3.02,GILROY-HOLLISTER VALLEY,BOLSA AREA,  20911.60800000000,A,3,  41675.56292110000,      0.41508756030,      0.00856066584
275,275,3-26,,3-26,WEST SANTA CRUZ TERRACE,,    366.45700000000,C,3,  55539.88143700000,      0.56915568036,      0.00322194903
276,276,3-51,,3-51,MAJORS CREEK,,    363.55700000000,C,3,   6422.26528697000,      0.06667273906,      0.00014899401
277,277,5-70,,5-70,LOS BANOS CREEK VALLEY,,   4835.05900000000,C,3,  28820.18484140000,      0.29849751418,      0.00198033556
278,278,3-1,,3-1,SOQUEL VALLEY,,   2514.68400000000,C,3,  17351.50365020000,      0.17453516045,      0.00103060399
279,279,3-3,3-3.03,3-3.03,GILROY-HOLLISTER VALLEY,HOLLISTER AREA,  32729.08300000000,A,3,  83131.48142120001,      0.81854111041,      0.01339658611
280,280,3-2,,3-2,PAJARO VALLEY,,  88061.87100000000,A,3, 122482.39986400001,      1.24868271255,      0.03605181119
281,281,6-17,,6-17,SALINE VALLEY,, 146849.51800000001,C,4, 353443.15178700001,      3.50604620876,      0.05971686321
282,282,3-27,,3-27,SCOTTS VALLEY,,    773.07000000000,C,3,  11473.33350580000,      0.11464320990,      0.00031712246
283,283,3-50,,3-50,FELTON AREA,,   1155.32700000000,C,3,  17234.51272580000,      0.16762200980,      0.00047396277
284,284,3-21,,3-21,SANTA CRUZ PURISIMA FORMATION,,  40165.56100000000,C,3, 125740.46831500001,      1.29037918040,      0.01647199689
285,285,3-20,,3-20,ANO NUEVO AREA,,   2030.15600000000,C,3,  13434.52062440000,      0.13470210766,      0.00083370488
286,286,3-3,3-3.01,3-3.01,GILROY-HOLLISTER VALLEY,LLAGAS AREA,  55967.08200000000,C,3, 138871.91041099999,      1.40599276801,      0.02295216261
287,287,5-22,5-22.05,5-22.05,SAN JOAQUIN VALLEY,CHOWCHILLA, 159318.77900000001,B,3, 148457.14082599999,      1.53438346598,      0.06529026853
288,288,5-22,5-22.06,5-22.06,SAN JOAQUIN VALLEY,MADERA, 393428.57500000001,B,3, 277854.82957599999,      2.84787318189,      0.16093985276
289,289,2-26,,2-26,PESCADERO VALLEY,,   2904.01000000000,C,2,  42652.06611390000,      0.43092053270,      0.00119447333
290,290,6-18,,6-18,DEATH VALLEY,, 926496.10199999996,C,4,1524547.84435999999,     15.28288332980,      0.37419514579
291,291,2-24,,2-24,SAN GREGORIO VALLEY,,   1073.69000000000,C,2,  15168.40847470000,      0.16443942489,      0.00044205463
292,292,6-15,,6-15,DEEP SPRINGS VALLEY,,  30048.03300000000,C,4,  92064.87529090000,      0.91896661450,      0.01231288781
293,293,6-16,,6-16,EUREKA VALLEY,, 129329.04100000000,C,4, 340730.88108299999,      3.36333094724,      0.05289525092
294,294,2-9,2-9.02,2-9.02,SANTA CLARA VALLEY,SANTA CLARA, 190234.59899999999,C,2, 240328.57844000001,      2.49855100031,      0.07831822919
295,295,5-22,5-22.04,5-22.04,SAN JOAQUIN VALLEY,MERCED, 491255.10800000001,B,3, 270620.57945500000,      2.79351232667,      0.20196225115
296,296,2-22,,2-22,HALF MOON BAY TERRACE,,   9189.32300000000,C,2,  78883.57682390000,      0.78701577830,      0.00379032847
297,297,2-9,2-9.03,2-9.03,SANTA CLARA VALLEY,SAN MATEO PLAIN,  37707.48400000000,C,2, 140719.36204599999,      1.44095465371,      0.01555959787
298,298,2-36,,2-36,SAN PEDRO VALLEY,,    701.72200000000,C,2,  10986.57198410000,      0.11313287758,      0.00028990533
299,299,2-9,2-9.01,2-9.01,SANTA CLARA VALLEY,NILES CONE,  57905.49300000000,A,2,  73472.71318160000,      0.75335264826,      0.02390257738
300,300,2-11,,2-11,SUNOL VALLEY,,  16622.91200000000,C,2,  53476.45213640000,      0.55333703755,      0.00686652999
301,301,5-22,5-22.03,5-22.03,SAN JOAQUIN VALLEY,TURLOCK, 347145.92200000002,B,3, 240005.04185899999,      2.50052579146,      0.14316391111
302,302,6-14,,6-14,FISH LAKE VALLEY,,  48333.29700000000,C,4, 104980.57861300001,      1.05986622775,      0.01984420198
303,303,5-22,5-22.07,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA, 746696.64899999998,B,3, 595673.32813799998,      5.99493427392,      0.30613494692
304,304,2-8,,2-8,CASTRO VALLEY,,   1820.53500000000,C,2,  15682.87939180000,      0.15744120427,      0.00075303337
305,305,2-32,,2-32,VISITACION VALLEY,,   5826.93700000000,C,2,  29723.46842890000,      0.30548716453,      0.00241051481
306,306,2-37,,2-37,SOUTH SAN FRANCISCO,,   2174.97300000000,C,2,  23526.17756890000,      0.24947985798,      0.00090014801
307,307,5-69,,5-69,YOSEMITE VALLEY,,   7465.16300000000,C,3,  71046.57449689999,      0.73505492257,      0.00308336332
308,308,6-11,,6-11,LONG VALLEY,,  72028.41899999999,A,4, 160310.67761099999,      1.64101219318,      0.02969464471
309,309,2-33,,2-33,ISLAIS VALLEY,,   5937.08200000000,C,2,  40522.78532120000,      0.41934703037,      0.00245732965
310,310,2-10,,2-10,LIVERMORE VALLEY,,  69530.96100000000,A,2, 127345.19153800000,      1.30652721402,      0.02875194325
311,311,2-35,,2-35,WESTSIDE,,  25385.55600000000,C,2,  94764.76075950000,      0.95629818830,      0.01050044638
312,312,2-9,2-9.04,2-9.04,SANTA CLARA VALLEY,EAST BAY PLAIN,   4768.70300000000,A,2, 274838.79031299998,      2.81786057248,      0.03200843853
313,313,2-38,,2-38,LOBOS,,   2359.05800000000,A,2,  14680.78268960000,      0.15622755698,      0.00097712716
314,314,2-40,,2-40,DOWNTOWN,,   7634.64200000000,C,2,  48779.04651070000,      0.49912204298,      0.00316178410
315,315,2-39,,2-39,MARINA,,   2186.13800000000,A,2,  23086.68840910000,      0.24312913300,      0.00090570397
316,316,5-22,5-22.02,5-22.02,SAN JOAQUIN VALLEY,MODESTO, 246518.25399999999,B,3, 224104.45437500000,      2.33506997880,      0.10190100899
317,317,2-7,,2-7,SAN RAMON VALLEY,,   7053.14500000000,C,2,  80274.02324540001,      0.81770448159,      0.00292199583
318,318,6-12,,6-12,OWENS VALLEY,, 663457.97600000002,A,4,1219997.71289999993,     12.30092210380,      0.27050397281
319,319,2-28,,2-28,ROSS VALLEY,,   1763.33600000000,C,2,  16984.36110360000,      0.17644863741,      0.00073187114
320,320,6-10,,6-10,ADOBE LAKE VALLEY,,  39977.85500000000,C,4, 133577.50587399999,      1.32473782000,      0.01652685800
321,321,2-29,,2-29,SAN RAFAEL VALLEY,,    874.14600000000,C,2,  13061.50823280000,      0.13301239018,      0.00036294301
322,322,2-31,,2-31,ARROYO DEL HAMBRE VALLEY,,    785.78600000000,C,2,  11273.60319390000,      0.11808564255,      0.00032649185
323,323,2-6,,2-6,YGNACIO VALLEY,,  15459.19000000000,C,2,  55980.27815100000,      0.56341706260,      0.00641708068
324,324,2-4,,2-4,PITTSBURG PLAIN,,  11606.57500000000,C,2,  44232.03090960000,      0.46406434973,      0.00482229470
325,325,2-5,,2-5,CLAYTON VALLEY,,  17835.64900000000,C,2,  65875.39788040001,      0.67223695743,      0.00740772092
326,326,5-22,5-22.15,5-22.15,SAN JOAQUIN VALLEY,TRACY, 344883.54100000003,C,2, 237542.05780000001,      2.42420145144,      0.14295055570
327,327,6-9,,6-9,MONO VALLEY,, 173299.28700000001,C,4, 243475.42164499999,      2.49205593289,      0.07181125448
328,328,2-30,,2-30,NOVATO VALLEY,,  20519.12800000000,C,2, 139746.60905299999,      1.42863222090,      0.00853405053
329,329,5-22,5-22.01,5-22.01,SAN JOAQUIN VALLEY,EASTERN SAN JOAQUIN, 707073.13699999999,A,2, 355606.40980700002,      3.65415058529,      0.29346737152
330,330,2-27,,2-27,SAND POINT AREA,,   1405.17300000000,C,2,  15221.06038490000,      0.15477260527,      0.00058560427
331,331,2-2,2-2.03,2-2.03,NAPA-SONOMA VALLEY,NAPA-SONOMA LOWLANDS,  40454.72300000000,C,2, 150255.81256399999,      1.52407267881,      0.01684457063
332,332,2-3,,2-3,SUISUN-FAIRFIELD VALLEY,, 133505.35500000001,C,2, 249287.02487900000,      2.53524159474,      0.05559238312
333,333,2-1,,2-1,PETALUMA VALLEY,,  46042.93300000000,C,2, 137182.65361899999,      1.40444305525,      0.01918438793
334,334,1-57,,1-57,BODEGA BAY AREA,,    657.25300000000,A,2,  34898.39914700000,      0.35658043125,      0.00111644910
335,335,6-8,,6-8,BRIDGEPORT VALLEY,,  32544.56500000000,C,2, 125828.65028700000,      1.27735210390,      0.01353202543
336,336,2-2,2-2.02,2-2.02,NAPA-SONOMA VALLEY,SONOMA VALLEY,  44626.17900000000,C,2, 103770.98100200000,      1.04017112473,      0.01860094762
337,337,6-107,,6-107,SWEETWATER FLAT,,   4746.48800000000,C,2,  55078.15246130000,      0.56327426113,      0.00197766367
338,338,1-61,,1-61,FORT ROSS TERRACE DEPOSITS,,   1558.49500000000,C,2, 148451.76731200001,      1.51310976624,      0.00355628821
339,339,2-19,,2-19,KENWOOD VALLEY,,   5135.07700000000,C,2,  25460.15422280000,      0.26764404694,      0.00214560742
340,340,5-22,5-22.16,5-22.16,SAN JOAQUIN VALLEY,COSUMNES, 280489.79800000001,A,2, 176631.56790400000,      1.80765130011,      0.11694132064
341,341,1-59,,1-59,WILSON GROVE FORMATION HIGHLANDS,,  86399.76500000000,C,2, 233579.68859500001,      2.40741451515,      0.03605317956
342,342,6-106,,6-106,LITTLE ANTELOPE VALLEY,,   2491.37100000000,C,2,  17847.13976020000,      0.18098796147,      0.00103993827
343,343,5-21,5-21.66,5-21.66,SACRAMENTO VALLEY,SOLANO, 424832.27899999998,C,2, 223522.74691099999,      2.31157286926,      0.17719456831
344,344,1-55,1-55.03,1-55.03,SANTA ROSA VALLEY,RINCON VALLEY,   5548.81200000000,C,2,  31188.45537140000,      0.31567516789,      0.00232027624
345,345,1-60,,1-60,LOWER RUSSIAN RIVER VALLEY,,   6639.49700000000,C,2,  84534.68167900000,      0.89344378469,      0.00277654918
346,346,1-55,1-55.01,1-55.01,SANTA ROSA VALLEY,SANTA ROSA PLAIN,  80059.44899999999,A,2, 119073.83283200000,      1.20596800868,      0.03345754800
347,347,5-20,,5-20,BERRYESSA VALLEY,,    665.48100000000,C,2,  20692.42407250000,      0.20505276042,      0.00057615561
348,348,2-2,2-2.01,2-2.01,NAPA-SONOMA VALLEY,NAPA VALLEY,  45894.63900000000,A,2, 164178.60468700001,      1.66699924215,      0.01917233605
349,349,6-105,,6-105,SLINKARD VALLEY,,   4517.36800000000,C,2,  32494.97128640000,      0.31150360294,      0.00188782990
350,350,6-7,,6-7,ANTELOPE VALLEY,,  20124.81300000000,A,2,  59762.77854230000,      0.58473540364,      0.00840832452
351,351,1-49,,1-49,ANNAPOLIS OHLSON RANCH FM HIGHLANDS,,    449.29100000000,C,2, 125884.74103600001,      1.27436660052,      0.00362584724
352,352,5-68,,5-68,POPE VALLEY,,   7177.25700000000,C,2,  83010.02876510000,      0.86906222967,      0.00300706939
353,353,1-50,,1-50,KNIGHTS VALLEY,,   4086.23100000000,C,2,  30187.29809820000,      0.31067334212,      0.00171235581
354,354,5-21,5-21.65,5-21.65,SACRAMENTO VALLEY,SOUTH AMERICAN, 247745.09500000000,C,2, 201909.49230099999,      2.05386990979,      0.10352000630
355,355,5-21,5-21.67,5-21.67,SACRAMENTO VALLEY,YOLO, 225717.82500000001,B,2, 154160.85872600001,      1.63004326350,      0.09452346696
356,356,1-55,1-55.02,1-55.02,SANTA ROSA VALLEY,HEALDSBURG AREA,  15399.98700000000,C,2,  61343.58248480000,      0.60988716629,      0.00645206061
357,357,5-19,,5-19,COLLAYOMI VALLEY,,   6496.46400000000,B,2,  43700.98309570000,      0.44762399464,      0.00272633568
358,358,5-18,,5-18,COYOTE VALLEY,,   6528.14000000000,B,2,  48109.29019780000,      0.49960788702,      0.00274062690
359,359,6-6,,6-6,CARSON VALLEY,,  10481.78900000000,C,2,  57757.60474370000,      0.58742208411,      0.00449233923
360,360,1-54,1-54.02,1-54.02,ALEXANDER VALLEY,CLOVERDALE AREA,   6524.96600000000,C,2,  42017.03191750000,      0.42737089523,      0.00273982459
361,361,5-21,5-21.68,5-21.68,SACRAMENTO VALLEY,CAPAY VALLEY,  24969.62100000000,C,2,  69010.98740010000,      0.68550689885,      0.01048692837
362,362,6-5,6-5.01,6-5.01,TAHOE VALLEY,TAHOE SOUTH,  14813.64500000000,C,2,  72909.99902180000,      0.73491436514,      0.00621988918
363,363,5-30,,5-30,LOWER LAKE VALLEY,,   2403.89500000000,B,1,  25002.07886000000,      0.26475139198,      0.00101127865
364,364,1-21,,1-21,FORT BRAGG TERRACE AREA,,    697.67400000000,C,2, 320843.09269000002,      3.31612299799,      0.01019023595
365,365,1-56,,1-56,McDOWELL VALLEY,,   1486.42600000000,C,2,  15569.33661960000,      0.15303902498,      0.00062573434
366,366,5-17,,5-17,BURNS VALLEY,,   2872.85700000000,B,1,  19907.40308820000,      0.20192858290,      0.00120951219
367,367,5-21,5-21.64,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN, 340169.98499999999,A,2, 198434.23929900001,      2.03004960566,      0.14276479955
368,368,1-20,,1-20,GARCIA RIVER VALLEY,,   2242.09500000000,C,2,  27134.01223930000,      0.28258326568,      0.00094359091
369,369,5-15,,5-15,BIG VALLEY,,  24212.15200000000,B,1,  59818.73528320000,      0.61124206984,      0.01019271671
370,370,1-53,,1-53,SANEL VALLEY,,   5568.07500000000,C,2,  52569.65853920000,      0.54280503259,      0.00234434269
371,371,5-16,,5-16,HIGH VALLEY,,   2356.04900000000,B,1,  19421.46296200000,      0.21124917372,      0.00099289623
372,372,5-66,,5-66,CLEAR LAKE CACHE FORMATION,,  29717.31800000000,B,1,  78876.19077420000,      0.81005650596,      0.01251339229
373,373,5-14,,5-14,SCOTTS VALLEY,,   7320.21700000000,B,1,  40499.18971580000,      0.41501395076,      0.00308518729
374,374,1-19,,1-19,ANDERSON VALLEY,,   4969.05900000000,C,2,  38617.13266650000,      0.39705185554,      0.00209376351
375,375,5-31,,5-31,LONG VALLEY,,   2799.33200000000,B,1,  41964.28056050000,      0.44222285009,      0.00118030796
376,376,5-92,,5-92,BLANCHARD VALLEY,,   1569.29800000000,B,1,  31925.07267320000,      0.29905744915,      0.00093724730
377,377,6-5,6-5.02,6-5.02,TAHOE VALLEY,TAHOE WEST,   6172.52600000000,C,2,  50165.72576410000,      0.50445258386,      0.00259954222
378,378,5-93,,5-93,NORTH FORK CACHE CREEK,,   3474.08000000000,C,1,  40057.04940150000,      0.41040814237,      0.00146552691
379,379,6-108,,6-108,OLYMPIC VALLEY,,    702.39800000000,C,2,   9301.21460897000,      0.10145842379,      0.00029623393
380,380,5-21,5-21.61,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA, 104486.42000000000,C,2, 101418.14430700000,      1.02904310765,      0.04403189360
381,381,5-13,,5-13,UPPER LAKE VALLEY,,   7260.08700000000,B,1,  52773.98639740000,      0.54262680538,      0.00306427209
382,382,5-21,5-21.62,5-21.62,SACRAMENTO VALLEY,SUTTER, 234263.75800000000,C,2, 178537.27701699999,      1.81001167143,      0.09867125846
383,383,1-46,,1-46,NAVARRO RIVER VALLEY,,    769.89000000000,C,2,  18734.18139260000,      0.20362710015,      0.00032503504
384,384,5-64,,5-64,BEAR VALLEY,,   9104.12700000000,B,1,  56918.16581260000,      0.53855142879,      0.00384152940
385,385,6-5,6-5.03,6-5.03,TAHOE VALLEY,TAHOE NORTH,   1931.23900000000,C,2,  14051.91895300000,      0.14636708157,      0.00081487186
386,386,5-94,,5-94,MIDDLE CREEK,,    704.68100000000,B,1,  14660.56474860000,      0.14352893123,      0.00029773082
387,387,5-65,,5-65,LITTLE INDIAN VALLEY,,   1268.57100000000,B,1,   9078.47192903000,      0.09445312494,      0.00053649202
388,388,5-91,,5-91,ANTELOPE CREEK,,   2039.45700000000,B,1,  28646.25722780000,      0.27543826826,      0.00086236909
389,389,1-52,,1-52,UKIAH VALLEY,,  37507.72700000000,C,2, 115091.85412200000,      1.14422141559,      0.01583639708
390,390,1-45,,1-45,BIG RIVER VALLEY,,   1684.62600000000,C,2,  43551.44606570000,      0.45719823437,      0.00071234017
391,391,1-51,,1-51,POTTER VALLEY,,   8236.46600000000,C,2,  40047.76583300000,      0.40986323470,      0.00348402134
392,392,6-67,,6-67,MARTIS VALLEY,,  36381.22400000000,C,2,  83106.91143730000,      0.85301743803,      0.01537181486
393,393,5-90,,5-90,FUNKS CREEK,,   3011.90000000000,C,1,  34529.94858390000,      0.34974629057,      0.00127492994
394,394,5-63,,5-63,STONYFORD TOWN AREA,,   6436.67900000000,B,1,  31418.50948000000,      0.31864257941,      0.00272536584
395,395,1-48,,1-48,GRAVELLY VALLEY,,   2973.93700000000,C,1,  23813.75012320000,      0.24199837683,      0.00126020967
396,396,1-13,,1-13,LITTLE LAKE VALLEY,,  10017.90400000000,A,1,  34320.86900210000,      0.34192163670,      0.00424297976
397,397,5-89,,5-89,SQUAW FLAT,,   1293.50700000000,C,1,  13787.11058110000,      0.14225152204,      0.00054840453
398,398,5-88,,5-88,STONY GORGE RESERVOIR,,   1064.75700000000,B,1,  13829.48928950000,      0.12871657981,      0.00045146165
399,399,1-41,,1-41,LITTLE VALLEY,,    811.96300000000,C,2,  12181.08954170000,      0.12405349612,      0.00034427515
400,400,1-42,,1-42,SHERWOOD VALLEY,,   1149.84600000000,C,1,  17489.86437180000,      0.18801506530,      0.00048782700
401,401,1-40,,1-40,TEN MILE RIVER VALLEY,,   1491.09200000000,C,2,  35338.24618940000,      0.36692826020,      0.00063264014
402,402,5-62,,5-62,ELK CREEK AREA,,   1438.32600000000,B,1,  11795.36382540000,      0.12586204931,      0.00061087219
403,403,1-44,,1-44,EDEN VALLEY,,   1376.35000000000,C,1,  17847.62855680000,      0.17996413185,      0.00058471525
404,404,1-12,,1-12,LAYTONVILLE VALLEY,,    405.46500000000,A,1,  45816.58064460000,      0.46673772549,      0.00213389735
405,405,5-21,5-21.59,5-21.59,SACRAMENTO VALLEY,EAST BUTTE, 265312.32500000001,B,1, 187053.93055600001,      1.88726075571,      0.11238880408
